[2025-02-12 10:36:45] 트래커 초기화 완료
[2025-02-12 10:36:54] 트래커 초기화 완료
[2025-02-12 10:36:54] ROI 선택됨: (440, 202, 36, 36)
[2025-02-12 10:36:54] MOSSE 추적 실패: 타겟 재탐색 중
[2025-02-12 10:36:56] 트래커 초기화 완료
[2025-02-12 10:36:56] ROI 선택됨: (437, 200, 53, 37)
[2025-02-12 10:36:59] 미사일 위치: [640, 200], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.4000000000000004, 'right': 2.4000000000000004}
[2025-02-12 10:36:59] 미사일 위치: [640, 202], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.5, 'right': 2.5}
[2025-02-12 10:36:59] 미사일 위치: [640, 204], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -2.6, 'right': 2.6}
[2025-02-12 10:36:59] 미사일 위치: [640, 206], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -2.6, 'right': 2.6}
[2025-02-12 10:36:59] 미사일 위치: [640, 208], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.7, 'right': 2.7}
[2025-02-12 10:36:59] 미사일 위치: [640, 210], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.7, 'right': 2.7}
[2025-02-12 10:37:00] 미사일 위치: [640, 212], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -2.7, 'right': 2.7}
[2025-02-12 10:37:00] 미사일 위치: [640, 214], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -2.8000000000000003, 'right': 2.8000000000000003}
[2025-02-12 10:37:00] 미사일 위치: [640, 216], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -2.9000000000000004, 'right': 2.9000000000000004}
[2025-02-12 10:37:00] 미사일 위치: [640, 218], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -2.9000000000000004, 'right': 2.9000000000000004}
[2025-02-12 10:37:00] 미사일 위치: [640, 221], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.0, 'right': 3.0}
[2025-02-12 10:37:00] 미사일 위치: [640, 223], 날개 각도: {'top': 14.200000000000001, 'bottom': -14.200000000000001, 'left': -2.9000000000000004, 'right': 2.9000000000000004}
[2025-02-12 10:37:00] 미사일 위치: [640, 226], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.0, 'right': 3.0}
[2025-02-12 10:37:00] 미사일 위치: [640, 229], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.2, 'right': 3.2}
[2025-02-12 10:37:00] 미사일 위치: [640, 232], 날개 각도: {'top': 14.4, 'bottom': -14.4, 'left': -3.2, 'right': 3.2}
[2025-02-12 10:37:00] 미사일 위치: [640, 235], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.2, 'right': 3.2}
[2025-02-12 10:37:00] 미사일 위치: [640, 238], 날개 각도: {'top': 14.3, 'bottom': -14.3, 'left': -3.2, 'right': 3.2}
